x,y,z,vx,vy,vz
-7.339235887127672e10,1.7595009729723273e11,-1.828640228084842e11,332.0621701719482,-267.59222363352416,-688.8130032274695
2.2798093625831454e11,-3.846638580689934e11,-1.5883330273655795e11,-1065.7743173988479,621.3455880786205,119.87994090731253
4.590167521089486e11,1.2487560170104063e11,1.7817462274697766e11,-890.3578248632257,84.15914725226435,-155.37114469120084
6.636103242573527e11,1.2011541537750763e11,-1.5005414967508184e12,124.4390140030295,226.129821821667,13.54348923939232
5.961807362321251e11,-4.6470548775865674e11,3.40657191548987e11,-192.32481190634758,281.49318193439404,-366.675868779725
1.97878167326134e11,-4.367197669662283e11,-1.8710931469015312e10,738.4591371000563,-248.19615535618033,323.4886767093985
3.565345972208186e10,5.644862053556796e11,3.15324891372794e11,150.64212418130555,334.9089283783307,432.3910575900707
4.33927037409396e11,3.222060969387768e11,5.339879646547755e11,719.6738991626962,688.4386981910284,554.8368433976397
9.533471163979814e10,1.4310984686497702e11,5.0651235772667267e11,38.96277109761274,182.7809624411207,892.6819970829229
-3.394171211234159e11,-2.4796298864544144e11,9.639609463647467e10,-790.2065046504295,-27.446155909454628,-393.86792417508303
-1.0680907668877364e11,-5.592595748462491e10,-3.591133774576382e11,-980.5018905691778,-578.7468066629591,872.2543119505373
4.574812028677495e11,-4.014925531514569e11,7.262111401219407e11,-399.97880658952386,822.5232732148552,-204.67370417636803
1.895559401717855e11,-2.0440083674424725e11,-2.726347150012484e11,223.07116813170242,-1016.6148309326254,-179.54441910817127
-1.070523003883431e11,-5.04177746699634e11,1.719045238507394e11,-943.1426036033723,347.7168010931138,766.448926230681
-1.9898715519650565e11,3.8621992439646967e11,-3.925622975245524e11,-216.59315599848142,254.37375990061915,-967.4610090388725
-1.2316029322924747e11,-1.419683933402306e8,-2.490122209982443e11,89.9555628565845,1213.710519167919,-1253.2968309631417
-6.891617378815352e11,-4.554957076130159e11,7.778866243331372e11,-118.58892468456166,-367.6909297067966,144.9986492820061
-3.1058862849241693e11,-5.3298100646105316e10,-1.5105341708641e10,-69.29007896249806,203.52947209592188,-541.1822222872449
-2.4046675650755835e11,-2.076938715456558e11,4.080999159820452e11,632.3683059679288,-25.10449651510696,1064.3752311188662
-1.720920851733496e11,-3.340408874161062e11,4.943725634371973e10,-1070.964486693901,-96.35153487750469,255.60112956915208
6.472497863876188e10,-2.4086508641717523e11,-3.8048541071233545e11,-1225.0203482125844,-732.7229847622544,-442.13058208545516
-1.5051767401116592e10,-1.99371728168579e11,-6.83046262962014e10,34.6748809517398,780.5674778347734,-725.8976435922091
-2.6721196097899814e11,4.545674344841131e10,-2.5469585556690454e11,601.4446053575218,626.6334750054044,-934.0458083488616
1.7114023106908514e11,-1.272564640329664e12,-1.5406211141638137e12,44.89307075109577,514.6031132906053,-17.801950546631172
3.24592332798454e11,1.0944663756166804e12,1.1046222187711375e12,-45.25373659364577,-570.77556590067,3.227753318285494
-5.889677875357842e11,-7.697473957732535e11,-6.972189039942534e10,-232.781022864204,412.2739719853174,691.906999966226
-5.021787436462535e11,-1.3502421273478118e12,1.4754801199477766e12,34.440417214043144,-379.7926627177022,-333.9118509154761
-1.2068329227667542e12,1.6704240708032556e11,5.305297389914898e11,-604.922159915824,-84.51994521635548,-483.52434457193425
-1.0559882369121746e12,4.7587828502228735e11,-1.5151174617384092e12,-655.5568530642128,256.97943270099915,-26.788488477979918
-8.086104187917339e11,-1.314495938514998e12,-2.4364845580620146e12,43.9010944139442,453.52019758161435,-119.54921355142126
-1.2430144152969045e12,-8.322082261475376e11,-1.6923411210869026e12,273.22682297435716,-158.08882643713414,-93.97660476477498
1.176268661091896e12,-7.961589480990789e11,-1.0692218232060302e12,425.06652467357975,398.03138508639876,132.53249661916257
1.2476958840023718e12,7.242302989602408e11,1.5835390221926165e12,129.67223746557326,-370.31039265093557,277.7483423500429
1.413845123967472e12,-1.1735715195120815e12,-1.1402401473684663e12,488.28850073340163,281.71836212989814,109.86298870309467
-1.4232812216227007e12,-1.2478315973875032e12,-6.21057884759267e11,-731.2061874537081,-87.76552980578059,-292.105315732129
9.83845441808328e10,-1.5585757768903256e11,-2.3328646093087076e11,-1297.8489477898158,315.20927960568275,-505.6484581671864